Date,Close,High,Low,Open,Volume
,CSCO,CSCO,CSCO,CSCO,CSCO
2017-08-17,24.52284812927246,25.099577104165785,24.372740071806366,24.878365309314805,53288800
2017-08-18,23.9935245513916,24.53865127292206,23.985623967573183,24.49124927689382,34802200
2017-08-21,24.238435745239258,24.33323973386554,23.985623099726197,23.993523683258758,24198400
2017-08-22,24.704559326171875,24.75196131991071,24.293738028749424,24.37274235623562,24747200
2017-08-23,24.428049087524414,24.807268115687613,24.420148502744038,24.657160018625422,22436600
2017-08-24,24.680856704711914,24.807263021475233,24.412242904869316,24.4517458206592,22576100
2017-08-25,24.838869094848633,25.12328259695779,24.775665926948555,24.799366173109593,19558300
2017-08-28,24.917869567871094,25.01267355158044,24.815163494156792,24.965271559725768,12958900
2017-08-29,24.870466232299805,24.988971966155034,24.641355347763984,24.69665792310428,16362700
2017-08-30,25.27338981628418,25.439299068115357,24.82306707212894,24.862568485626568,22988700
2017-08-31,25.44719696044922,25.54990304177264,25.27338863951716,25.360292046542057,27800200
2017-09-01,25.518299102783203,25.557800511958412,25.30498787671988,25.455097450855742,14686600
2017-09-05,24.981077194213867,25.47090288726538,24.854669348521202,25.399799133324315,32475500
2017-09-06,25.1785888671875,25.210189700432135,24.988977840189616,25.08378335368856,16962300
2017-09-07,25.091676712036133,25.257584429272853,25.07587554652347,25.249683846516522,14751700
2017-09-08,24.870466232299805,25.107479206892428,24.85466506595053,25.02847488202822,15339500
2017-09-11,25.431396484375,25.518301400644635,25.020576668560143,25.052177497369453,22440800
2017-09-12,25.60520362854004,25.652607127100413,25.43139381424963,25.518298721394835,18923100
2017-09-13,25.423494338989258,25.589402060700024,25.24968452742698,25.54990065273521,22705100
2017-09-14,25.431396484375,25.455099743026015,25.210186162062918,25.210186162062918,18194800
2017-09-15,25.62889862060547,25.67630210945477,25.376086040936546,25.439290692735614,29336100
2017-09-18,25.692108154296875,25.802713302198235,25.486696010682138,25.621004414393965,17290900
2017-09-19,25.66840934753418,25.794815668455946,25.59730560365541,25.644706090398312,12927700
2017-09-20,25.75531005859375,25.87381729752323,25.589402335103898,25.71580865020535,19865400
2017-09-21,25.834318161010742,25.99232682222394,25.67630949979754,25.850119328508516,19870000
2017-09-22,26.3636417388916,26.490048055657162,25.786912730288474,25.802713896604708,28234900
2017-09-25,26.64015769958496,26.734961683970024,26.22933641556391,26.316241323652022,32396900
2017-09-26,26.6717586517334,26.940372468742762,26.60065490564961,26.6717586517334,26138300
2017-09-27,26.450546264648438,26.798162877291034,26.308338783620954,26.687557728439494,22594600
2017-09-28,26.34783935546875,26.434744259311415,26.245136299803946,26.245136299803946,15496900
2017-09-29,26.569055557250977,26.600654878105324,26.260940329128445,26.31624290782918,14802700
2017-10-02,26.663864135742188,26.679665305770726,26.482155201061524,26.55325895930744,16555200
2017-10-03,26.742856979370117,26.782361396562735,26.553249037406697,26.64015393320822,13346900
2017-10-04,26.647239685058594,26.742865943502355,26.527711421714862,26.71895785898776,14652200
2017-10-05,26.76677131652832,26.830519116465442,26.623334966910615,26.758803981463938,14524800
2017-10-06,26.894271850585938,26.91817689727026,26.710992733121817,26.81458633509982,15464700
2017-10-09,26.902238845825195,27.00583244649246,26.782710574108375,26.910209221157498,8728400
